"","state","date","month","recovered.cases","active.cases","incident.rate","people.tested","people.hospitalized","mortality.rate","testing.rate","hospitalization.rate"
"5348","Missouri",2020-10-27,10,NA,172275,2853.47542977286,2438579,NA,1.63021755267516,39732.9141783822,NA
"5349","Missouri",2020-10-28,10,NA,174435,2889.14183596125,2454427,NA,1.62644725043566,39991.1330935369,NA
"5350","Missouri",2020-10-29,10,NA,174816,2895.46370238478,2474396,NA,1.62683518375753,40316.4973992363,NA
"5351","Missouri",2020-10-30,10,NA,180189,2983.80689761248,2494866,NA,1.60542568353456,40650.0247334877,NA
"5352","Missouri",2020-10-31,10,NA,182955,3030.45510269122,2517550,NA,1.63286592971741,41019.6258106816,NA
"5353","Missouri",2020-11-01,11,NA,185287,3068.46776858319,2535182,NA,1.61316872427984,41306.9122766084,NA
"5354","Missouri",2020-11-02,11,NA,188180,3115.68624511766,2553774,NA,1.59133577027868,41609.8404738923,NA
"5355","Missouri",2020-11-03,11,NA,190366,3151.8251619408,2585280,NA,1.58963198081069,42123.1825448706,NA
"5356","Missouri",2020-11-03,11,NA,190366,3151.8251619408,2585280,NA,1.58963198081069,42123.1825448706,NA
"5357","Montana",2020-04-13,4,171,387,45.4972187804205,9098,47,1.77664974619289,1050.59313823418,11.9289340101523
"5358","Montana",2020-04-14,4,197,392,46.07459465,9234,50,1.754385965,1066.297762,12.53132832
"5359","Montana",2020-04-15,4,209,397,46.6519705261164,9583,51,1.73267326732673,1106.59859790043,12.6237623762376
"5360","Montana",2020-04-16,4,218,408,47.922197446382,9936,52,1.68674698795181,1147.3613345235,12.5301204819277
"5361","Montana",2020-04-17,4,233,414,48.7305236683692,10244,54,1.8957345971564,1182.92768829093,12.7962085308057
"5362","Montana",2020-04-18,4,234,416,49.1924243666475,10569,55,2.34741784037559,1220.45712002605,12.9107981220657
"5363","Montana",2020-04-19,4,243,423,50.0007505886347,10898,55,2.3094688221709,1258.44845245945,12.70207852194
"5364","Montana",2020-04-20,4,243,423,50.0007505886347,11051,57,2.3094688221709,1276.1161541686,13.1639722863741
"5365","Montana",2020-04-21,4,273,425,50.4626512869131,11241,59,2.74599542334096,1298.05643733682,13.5011441647597
"5366","Montana",2020-04-22,4,296,425,50.6936016360523,11583,59,3.18906605922551,1337.54894703962,13.4396355353075
